MBB.Id	reaction	Reversible	E.C.number	ko	E.C.num_gene
1	rn:R00705|R00706		(-.-.-.-)			[00410, 00562, 00640]
1	rn:R00705|R00706		(1.2.1.18)			[00410, 00562, 00640]
1	rn:R00707|R00708	reversible	(-.-.-.-)			[00250, 00330]
1	rn:R00707|R00708	reversible	(1.2.1.88)			[00250, 00330]
1	rn:R00709	reversible	(1.1.1.41)			[00020]
1	rn:R00710	reversible	(1.2.1.3)			[00010, 00620]
1	rn:R00711	reversible	(1.2.1.5)			[00010, 00620]
1	rn:R00713		(1.2.1.24)			[00250, 00350, 00650, 00760]
1	rn:R00742	reversible	(6.4.1.2)			[00061, 00254, 00620, 00640, 00720]
1	rn:R00746	reversible	(-.-.-.-)			[00010]
1	rn:R00746	reversible	(1.1.1.2)			[00010]
1	rn:R00748		(4.2.3.2)			[00564]
1	rn:R00751	reversible	(4.1.2.48)			[00260]
1	rn:R00754	reversible	(-.-.-.-)			[00010]
1	rn:R00754	reversible	(1.1.1.1)			[00010]
1	rn:R00760		(2.7.1.1)			[00500]
1	rn:R00765		(3.5.99.6)			[00520]
1	rn:R00768		(2.6.1.16)			[00250, 00520]
1	rn:R00771	reversible	(5.3.1.9)			[00500]
1	rn:R00782	reversible	(4.4.1.1)			[00270]
1	rn:R00833	reversible	(5.4.99.2)			[00280, 00630, 00640, 00720]
1	rn:R00842	reversible	(1.1.1.8)			[00564]
1	rn:R00842	reversible	(1.1.1.94)			[00564]
1	rn:R00847		(2.7.1.30)			[00561]
1	rn:R00848	reversible	(1.1.5.3)			[00564]
1	rn:R00851		(2.3.1.15)			[00561, 00564]
1	rn:R00866		(2.7.1.3)			[00051]
1	rn:R00867		(2.7.1.1)			[00051]
1	rn:R00875	reversible	(1.1.1.14)			[00051]
1	rn:R00885	reversible	(2.7.7.13)			[00051, 00520]
1	rn:R00891		(4.2.1.22)			[00260]
1	rn:R00894		(6.3.2.2)			[00480]
1	rn:R00896	reversible	(2.6.1.1)			[00270]
1	rn:R00899		(3.4.11.1)			[00480]
1	rn:R00899		(3.4.11.2)			[00480]
1	rn:R00904		(-.-.-.-)			[00410]
1	rn:R00904		(1.2.1.3)			[00410]
1	rn:R00904		(1.2.1.5)			[00410]
1	rn:R00905	reversible	(3.5.1.6)			[00240, 00410, 00770]
1	rn:R00908	reversible	(2.6.1.19)			[00410, 00640]
1	rn:R00908	reversible	(2.6.1.55)			[00410, 00640]
1	rn:R00910	reversible	(6.3.2.11)			[00410]
1	rn:R00922		(1.2.1.27)			[00280]
1	rn:R00923		(4.1.1.41)			[00640]
1	rn:R00924	reversible	(1.3.8.7)			[00410]
1	rn:R00926	reversible	(6.2.1.1)			[00640]
1	rn:R00926	reversible	(6.2.1.17)			[00640]
1	rn:R00927		(2.3.1.16)			[00280]
1	rn:R00936|R00939	reversible	(-.-.-.-)			[00670, 00790]
1	rn:R00936|R00939	reversible	(1.5.1.3)			[00670, 00790]
1	rn:R00937|R00940		(-.-.-.-)			[00670, 00790]
1	rn:R00937|R00940		(1.5.1.3)			[00670, 00790]
1	rn:R00941		(1.5.1.6)			[00670]
1	rn:R00942	reversible	(6.3.2.17)			[00790]
1	rn:R00943		(6.3.4.3)			[00670, 00720]
1	rn:R00945	reversible	(2.1.2.1)			[00260, 00460, 00630, 00670, 00680]
1	rn:R00946		(2.1.1.13)			[00270, 00670]
1	rn:R00955	reversible	(2.7.7.12)			[00052, 00520]
1	rn:R00959	reversible	(5.4.2.2)			[00010, 00052, 00520]
1	rn:R00963		(3.1.3.5)			[00240]
1	rn:R00964|R00967|R00968|R00970|R01549|R01880|R02097|R02327|R02332		(-.-.-.-)			[00240]
1	rn:R00964|R00967|R00968|R00970|R01549|R01880|R02097|R02327|R02332		(2.7.1.48)			[00240]
1	rn:R00965		(4.1.1.23)			[00240]
1	rn:R00966	reversible	(2.4.2.9)			[00240]
1	rn:R00978	reversible	(1.3.1.2)			[00240, 00410, 00770]
1	rn:R00996		(4.3.1.19)			[00260, 00290]
1	rn:R01000	reversible	(1.1.1.27)			[00640]
1	rn:R01001	reversible	(4.4.1.1)			[00260, 00270]
1	rn:R01015	reversible	(5.3.1.1)			[00010, 00051, 00562, 00710]
1	rn:R01021		(2.7.1.32)			[00564]
1	rn:R01023		(2.3.1.6)			[00564]
1	rn:R01025		(1.1.99.1)			[00260]
1	rn:R01026		(3.1.1.7)			[00564]
1	rn:R01030		(3.1.4.2)			[00564]
1	rn:R01030		(3.1.4.46)			[00564]
1	rn:R01036|R01041	reversible	(-.-.-.-)			[00561]
1	rn:R01036|R01041	reversible	(1.1.1.21)			[00561]
1	rn:R01041	reversible	(1.1.1.2)			[00561]
1	rn:R01049	reversible	(2.7.6.1)			[00030, 00230]
1	rn:R01051	reversible	(2.7.1.15)			[00030]
1	rn:R01056	reversible	(5.3.1.6)			[00030, 00710]
1	rn:R01057	reversible	(5.4.2.2)			[00030, 00230]
1	rn:R01057	reversible	(5.4.2.7)			[00030, 00230]
1	rn:R01059		(2.7.1.28)			[00051]
1	rn:R01061	reversible	(1.2.1.12)			[00010, 00710]
1	rn:R01066	reversible	(4.1.2.4)			[00030]
1	rn:R01070	reversible	(4.1.2.13)			[00010, 00030, 00051]
1	rn:R01072		(2.4.2.14)			[00230, 00250]
1	rn:R01082	reversible	(4.2.1.2)			[00020, 00620, 00720]
1	rn:R01083		(4.3.2.2)			[00230, 00250]
1	rn:R01086		(4.3.2.1)			[00220, 00250]
1	rn:R01092		(2.7.1.6)			[00052, 00520]
1	rn:R01093|R01095	reversible	(-.-.-.-)			[00052]
1	rn:R01093|R01095	reversible	(1.1.1.21)			[00052]
1	rn:R01104	reversible	(3.2.1.22)			[00052]
1	rn:R01117	reversible	(2.7.7.43)			[00520]
1	rn:R01126		(3.1.3.5)			[00230]
1	rn:R01127	reversible	(2.1.2.3)			[00230]
1	rn:R01127	reversible	(3.5.4.10)			[00230]
1	rn:R01130		(1.1.1.205)			[00230]
1	rn:R01132	reversible	(2.4.2.8)			[00230]
1	rn:R01134		(1.7.1.7)			[00230]
1	rn:R01135		(6.3.4.4)			[00230, 00250]
1	rn:R01137	reversible	(2.7.4.6)			[00230]
1	rn:R01138	reversible	(2.7.1.40)			[00230]
1	rn:R01151		(1.4.3.10)			[00330]
1	rn:R01151		(1.4.3.22)			[00330]
1	rn:R01157		(3.5.3.11)			[00330]
1	rn:R01164		(6.3.2.11)			[00340, 00410]
1	rn:R01166		(3.4.13.18)			[00340, 00410]
1	rn:R01166		(3.4.13.20)			[00340, 00410]
1	rn:R01168		(4.3.1.3)			[00340]
1	rn:R01175		(1.3.3.6)			[00071, 00650]
1	rn:R01175		(1.3.8.1)			[00071, 00650]
1	rn:R01175		(1.3.8.7)			[00071, 00650]
1	rn:R01177	reversible	(2.3.1.16)			[00062, 00071]
1	rn:R01177	reversible	(2.3.1.9)			[00062, 00071]
1	rn:R01186		(3.1.3.25)			[00562]
1	rn:R01187		(3.1.3.25)			[00521, 00562]
1	rn:R01194	reversible	(3.2.1.22)			[00052]
1	rn:R01201		(2.7.1.59)			[00520]
1	rn:R01207	reversible	(5.1.3.8)			[00520]
1	rn:R01218	reversible	(1.5.1.15)			[00670]
1	rn:R01220	reversible	(1.5.1.5)			[00670, 00720]
1	rn:R01221		(-.-.-.-)			[00630]
1	rn:R01224		(-.-.-.-)			[00670]
1	rn:R01224|R07168		(1.5.1.20)			[00670, 00720]
1	rn:R01227		(3.1.3.5)			[00230]
1	rn:R01229	reversible	(2.4.2.7)			[00230]
1	rn:R01229	reversible	(2.4.2.8)			[00230]
1	rn:R01230|R01231		(-.-.-.-)			[00230]
1	rn:R01230|R01231		(6.3.5.2)			[00230]
1	rn:R01234		(3.1.4.17|3.1.4.35)			[00230]
1	rn:R01248|R01251	reversible	(-.-.-.-)			[00330]
1	rn:R01248|R01251	reversible	(1.5.1.2)			[00330]
1	rn:R01252		(1.14.11.2)			[00330]
1	rn:R01262		(2.3.2.2)			[00480]
1	rn:R01271	reversible	(2.4.2.12)			[00760]
1	rn:R01274		(3.1.2.2)			[00062, 01040]
1	rn:R01274		(3.1.2.22)			[00062, 01040]
1	rn:R01278		(1.3.1.38)			[00062]
1	rn:R01279		(1.3.3.6)			[00071]
1	rn:R01279		(1.3.8.7)			[00071]
1	rn:R01279		(1.3.8.8)			[00071]
1	rn:R01279		(1.3.8.9)			[00071]
1	rn:R01280	reversible	(6.2.1.3)			[00061, 00071]
1	rn:R01281		(2.3.1.50)			[00600]
1	rn:R01286		(4.4.1.8)			[00270]
1	rn:R01290		(4.2.1.22)			[00260, 00270]
1	rn:R01310		(3.1.4.4)			[00564]
1	rn:R01315		(3.1.1.4)			[00564]
1	rn:R01316		(3.1.1.32)			[00564]
1	rn:R01317	reversible	(3.1.1.4)			[00590]
1	rn:R01318		(2.3.1.23)			[00564]
1	rn:R01320		(2.1.1.71)			[00564]
1	rn:R01321		(2.7.8.2)			[00564]
1	rn:R01325	reversible	(4.2.1.3)			[00020, 00630, 00720]
1	rn:R01326		(2.7.1.1)			[00051, 00520]
1	rn:R01329	reversible	(3.2.1.22)			[00052]
1	rn:R01350		(3.1.1.34)			[00561]
1	rn:R01351		(3.1.1.23)			[00561]
1	rn:R01354	reversible	(6.2.1.1)			[00640]
1	rn:R01354	reversible	(6.2.1.17)			[00640]
1	rn:R01357		(6.2.1.16)			[00280, 00650]
1	rn:R01360		(4.1.3.4)			[00072, 00280, 00650]
1	rn:R01361	reversible	(1.1.1.30)			[00072, 00650]
1	rn:R01383	reversible	(-.-.-.-)			[00040]
1	rn:R01383	reversible	(2.4.1.17)			[00040]
1	rn:R01388|R01392	reversible	(-.-.-.-)			[00260, 00630, 00680]
1	rn:R01388|R01392	reversible	(1.1.1.81)			[00260, 00630, 00680]
1	rn:R01392		(1.1.1.79)			[00260, 00630]
1	rn:R01397		(2.1.3.2)			[00240, 00250]
1	rn:R01398		(2.1.3.3)			[00220]
1	rn:R01402		(2.4.2.28)			[00270]
1	rn:R01415	reversible	(1.3.1.2)			[00240]
1	rn:R01431	reversible	(1.1.1.21)			[00040]
1	rn:R01465		(1.1.1.103)			[00260]
1	rn:R01468		(2.7.1.82)			[00564]
1	rn:R01470		(3.1.4.2)			[00564]
1	rn:R01470		(3.1.4.46)			[00564]
1	rn:R01494		(3.5.1.23)			[00600]
1	rn:R01495		(2.7.1.138)			[00600]
1	rn:R01496		(2.3.1.24)			[00600]
1	rn:R01497		(2.4.1.80)			[00600]
1	rn:R01498		(3.2.1.45)			[00600]
1	rn:R01500		(2.4.1.47)			[00600]
1	rn:R01512	reversible	(2.7.2.3)			[00010, 00710]
1	rn:R01513	reversible	(-.-.-.-)			[00260, 00680]
1	rn:R01513	reversible	(1.1.1.95)			[00260, 00680]
1	rn:R01516	reversible	(5.4.2.11)			[00010]
1	rn:R01518	reversible	(5.4.2.11)			[00010, 00260, 00680]
1	rn:R01528		(1.1.1.44)			[00030, 00480]
1	rn:R01529	reversible	(5.1.3.1)			[00030, 00040, 00710]
1	rn:R01547	reversible	(2.7.4.3)			[00230]
1	rn:R01560		(3.5.4.4)			[00230]
1	rn:R01561	reversible	(2.4.2.1)			[00230]
1	rn:R01565		(1.5.8.4)			[00260]
1	rn:R01567		(2.7.1.21)			[00240]
1	rn:R01569		(3.1.3.5)			[00240]
1	rn:R01570		(2.4.2.4)			[00240]
1	rn:R01600		(2.7.1.1)			[00010]
1	rn:R01600		(2.7.1.2)			[00010]
1	rn:R01602	reversible	(5.1.3.3)			[00010]
1	rn:R01624		(2.3.1.85)			[00061]
1	rn:R01625		(2.7.8.7)			[00770]
1	rn:R01626	reversible	(2.3.1.39)			[00061]
1	rn:R01626	reversible	(2.3.1.85)			[00061]
1	rn:R01639	reversible	(2.7.1.17)			[00040]
1	rn:R01641	reversible	(2.2.1.1)			[00030, 00710]
1	rn:R01648	reversible	(2.6.1.19)			[00250, 00650]
1	rn:R01655	reversible	(3.5.4.9)			[00670, 00720]
1	rn:R01662	reversible	(5.4.2.4)			[00010]
1	rn:R01663		(3.5.4.12)			[00240]
1	rn:R01664		(3.1.3.5)			[00240]
1	rn:R01665	reversible	(2.7.4.14)			[00240]
1	rn:R01666		(2.7.1.74)			[00240]
1	rn:R01667		(3.6.1.12)			[00240]
1	rn:R01668		(3.6.1.12)			[00240]
1	rn:R01676		(3.5.4.3)			[00230]
1	rn:R01678		(3.2.1.108)			[00052]
1	rn:R01678		(3.2.1.23)			[00052]
1	rn:R01706		(2.3.1.85)			[00061]
1	rn:R01752	reversible	(1.2.1.3)			[00561]
1	rn:R01768		(1.17.1.4)			[00230]
1	rn:R01769		(1.17.3.2)			[00230]
1	rn:R01786	reversible	(2.7.1.1)			[00010, 00052, 00520]
1	rn:R01786	reversible	(2.7.1.2)			[00010, 00052, 00520]
1	rn:R01787	reversible	(1.1.1.21)			[00051]
1	rn:R01788	reversible	(3.1.3.9)			[00010, 00052]
1	rn:R01790		(3.2.1.3)			[00500]
1	rn:R01791		(3.2.1.10)			[00500]
1	rn:R01791		(3.2.1.3)			[00500]
1	rn:R01799		(2.7.7.41)			[00564]
1	rn:R01802		(2.7.8.11)			[00562, 00564]
1	rn:R01804		(2.5.1.56)			[00520]
1	rn:R01805		(3.1.3.29)			[00520]
1	rn:R01811		(4.1.3.3)			[00520]
1	rn:R01818	reversible	(5.4.2.8)			[00051, 00520]
1	rn:R01819	reversible	(5.3.1.8)			[00051, 00520]
1	rn:R01827	reversible	(2.2.1.2)			[00030]
1	rn:R01830	reversible	(2.2.1.1)			[00030]
1	rn:R01855		(-.-.-.-)			[00230]
1	rn:R01857	reversible	(2.7.4.6)			[00230]
1	rn:R01858		(2.7.1.40)			[00230]
1	rn:R01859		(6.4.1.3)			[00280, 00630, 00640, 00720]
1	rn:R01863	reversible	(2.4.2.1)			[00230]
1	rn:R01868	reversible	(1.3.5.2)			[00240]
1	rn:R01870	reversible	(2.4.2.10)			[00240]
1	rn:R01876	reversible	(2.4.2.3)			[00240]
1	rn:R01878		(3.5.4.5)			[00240]
1	rn:R01890		(2.7.7.15)			[00564]
1	rn:R01896	reversible	(1.1.1.14)			[00040]
1	rn:R01896	reversible	(1.1.1.9)			[00040]
1	rn:R01899	reversible	(1.1.1.42)			[00020]
1	rn:R01900	reversible	(4.2.1.3)			[00020, 00630, 00720]
1	rn:R01904	reversible	(1.1.1.10)			[00040]
1	rn:R01920		(2.5.1.16)			[00270, 00330, 00480]
1	rn:R01926		(2.7.1.91)			[00600]
1	rn:R01954		(6.3.4.5)			[00220, 00250]
1	rn:R01967	reversible	(2.7.1.113)			[00230]
1	rn:R01968	reversible	(3.1.3.5)			[00230]
1	rn:R01969	reversible	(2.4.2.1)			[00230]
1	rn:R01975	reversible	(1.1.1.35)			[00071, 00310, 00380, 00650, 00720]
1	rn:R01978		(2.3.3.10)			[00072, 00280, 00650, 00900]
1	rn:R01986|R02549		(-.-.-.-)			[00330, 00410]
1	rn:R01986|R02549		(1.2.1.3)			[00330, 00410]
1	rn:R01991	reversible	(6.3.2.11)			[00330]
1	rn:R01992		(3.4.13.18)			[00330]
1	rn:R01992		(3.4.13.20)			[00330]
1	rn:R01993	reversible	(3.5.2.3)			[00240]
1	rn:R02017		(1.17.4.1)			[00230]
1	rn:R02018		(1.17.4.1)			[00240]
1	rn:R02019		(1.17.4.1)			[00230]
1	rn:R02024		(1.17.4.1)			[00240]
1	rn:R02035		(3.1.1.31)			[00030]
1	rn:R02038		(2.7.7.14)			[00564]
1	rn:R02050	reversible	(2.6.1.40)			[00280]
1	rn:R02051		(3.1.4.4)			[00564]
1	rn:R02053		(3.1.1.4)			[00564]
1	rn:R02054		(3.1.1.32)			[00564]
1	rn:R02055		(4.1.1.65)			[00564]
1	rn:R02056		(2.1.1.17)			[00564]
1	rn:R02057		(2.7.8.1)			[00564]
1	rn:R02058		(2.3.1.4)			[00520]
1	rn:R02059		(3.5.1.25)			[00520]
1	rn:R02085	reversible	(4.2.1.18)			[00280]
1	rn:R02088	reversible	(3.1.3.5)			[00230]
1	rn:R02090	reversible	(2.7.4.8)			[00230]
1	rn:R02092		(3.6.1.5)			[00240]
1	rn:R02093	reversible	(2.7.4.6)			[00240]
1	rn:R02094	reversible	(2.7.4.9)			[00240]
1	rn:R02095		(3.6.1.5)			[00240]
1	rn:R02098	reversible	(2.7.4.9)			[00240]
1	rn:R02099		(2.7.1.21)			[00240]
1	rn:R02100		(3.6.1.23)			[00240]
1	rn:R02101		(2.1.1.45)			[00240, 00670]
1	rn:R02102		(3.1.3.5)			[00240]
1	rn:R02110		(2.4.1.18)			[00500]
1	rn:R02111		(2.4.1.1)			[00500]
1	rn:R02112		(3.2.1.1)			[00500]
1	rn:R02112		(3.2.1.2)			[00500]
1	rn:R02114		(2.3.1.43)			[00564]
1	rn:R02135		(3.1.3.1)			[00730]
1	rn:R02135		(3.1.3.100)			[00730]
1	rn:R02135		(3.1.3.2)			[00730]
1	rn:R02142	reversible	(2.4.2.8)			[00230]
1	rn:R02144		(2.1.1.22)			[00340]
1	rn:R02147	reversible	(2.4.2.1)			[00230]
1	rn:R02164	reversible	(1.3.5.1)			[00020, 00620, 00650, 00720]
1	rn:R02235|R02236	reversible	(-.-.-.-)			[00670, 00790]
1	rn:R02235|R02236	reversible	(1.5.1.3)			[00670, 00790]
1	rn:R02239		(3.1.3.4)			[00561, 00564]
1	rn:R02239		(3.1.3.81)			[00561, 00564]
1	rn:R02240		(2.7.1.107)			[00561, 00564]
1	rn:R02241		(2.3.1.51)			[00561, 00564]
1	rn:R02250		(3.1.1.3)			[00561]
1	rn:R02251		(2.3.1.20)			[00561]
1	rn:R02269	reversible	(3.5.2.2)			[00240, 00410, 00770]
1	rn:R02287	reversible	(2.1.2.5)			[00340, 00670]
1	rn:R02288		(3.5.2.7)			[00340]
1	rn:R02294	reversible	(2.4.2.1)			[00760]
1	rn:R02297	reversible	(2.4.2.1)			[00230]
1	rn:R02300		(2.1.2.10)			[00670]
1	rn:R02301		(6.3.3.2)			[00670]
1	rn:R02302	reversible	(4.3.1.4)			[00670]
1	rn:R02323		(3.1.3.5)			[00760]
1	rn:R02324		(2.7.1.22)			[00760]
1	rn:R02326	reversible	(2.7.4.6)			[00240]
1	rn:R02331	reversible	(2.7.4.6)			[00240]
1	rn:R02464		(4.1.2.27)			[00600]
1	rn:R02484		(2.4.2.1)			[00240]
1	rn:R02484		(2.4.2.4)			[00240]
1	rn:R02484	reversible	(2.4.2.3)			[00240]
1	rn:R02485		(3.5.4.5)			[00240]
1	rn:R02541		(3.1.4.12)			[00600]
1	rn:R02556	reversible	(3.5.4.4)			[00230]
1	rn:R02557	reversible	(2.4.2.1)			[00230]
1	rn:R02565|R02566		(-.-.-.-)			[00260]
1	rn:R02565|R02566		(1.2.1.8)			[00260]
1	rn:R02568	reversible	(4.1.2.13)			[00051]
1	rn:R02569	reversible	(2.3.1.12)			[00010, 00020, 00620]
1	rn:R02570	reversible	(2.3.1.61)			[00020]
1	rn:R02661		(1.3.8.1)			[00280]
1	rn:R02661	reversible	(1.3.8.7)			[00280]
1	rn:R02661	reversible	(1.3.99.12)			[00280]
1	rn:R02662		(2.3.1.168)			[00280]
1	rn:R02687		(3.1.1.3)			[00561]
1	rn:R02705		(2.7.1.60)			[00520]
1	rn:R02719		(3.1.3.5)			[00230]
1	rn:R02736		(1.1.1.49)			[00030, 00480]
1	rn:R02736|R10907		(-.-.-.-)			[00030, 00480]
1	rn:R02736|R10907		(1.1.1.363)			[00030, 00480]
1	rn:R02739	reversible	(5.3.1.9)			[00010, 00030]
1	rn:R02740	reversible	(5.3.1.9)			[00010, 00030, 00520]
1	rn:R02743		(4.3.2.9)			[00480]
1	rn:R02746		(3.1.1.5)			[00564]
1	rn:R02747		(3.1.1.5)			[00564]
1	rn:R02748		(2.4.2.1)			[00230]
1	rn:R02749	reversible	(5.4.2.7)			[00030]
1	rn:R02750	reversible	(2.7.1.15)			[00030]
1	rn:R02757		(2.7.1.94)			[00561]
1	rn:R02765	reversible	(5.1.99.1)			[00280, 00630, 00640, 00720]
1	rn:R02821		(2.1.1.5)			[00260, 00270]
1	rn:R02869	reversible	(2.5.1.16)			[00270, 00330, 00410, 00480]
1	rn:R02869	reversible	(2.5.1.22)			[00270, 00330, 00410, 00480]
1	rn:R02914		(4.2.1.49)			[00340]
1	rn:R02921	reversible	(2.7.7.40)			[00040, 00515]
1	rn:R02926	reversible	(3.2.1.22)			[00052]
1	rn:R02976		(2.7.1.91)			[00600]
1	rn:R02978		(1.1.1.102)			[00600]
1	rn:R03026	reversible	(4.2.1.17)			[00071, 00310, 00362, 00380, 00627, 00650, 00720]
1	rn:R03035	reversible	(2.7.7.3)			[00770]
1	rn:R03036	reversible	(3.6.1.9)			[00770]
1	rn:R03045	reversible	(4.2.1.17)			[00410, 00640, 00720]
1	rn:R03055	reversible	(3.5.2.2)			[00240]
1	rn:R03105		(2.8.1.2)			[00270]
1	rn:R03158	reversible	(3.1.2.4)			[00410, 00640]
1	rn:R03167		(1.11.1.12)			[00480]
1	rn:R03172		(1.3.99.12)			[00280]
1	rn:R03172	reversible	(1.3.8.1)			[00280]
1	rn:R03172	reversible	(1.3.8.7)			[00280]
1	rn:R03174		(2.3.1.168)			[00280]
1	rn:R03189		(2.1.2.5)			[00670]
1	rn:R03269		(4.1.1.36)			[00770]
1	rn:R03270		(1.2.4.1)			[00010, 00020, 00620]
1	rn:R03286		(6.3.2.11)			[00340, 00410]
1	rn:R03288		(3.4.13.20)			[00340, 00410]
1	rn:R03291|R03293		(-.-.-.-)			[00330]
1	rn:R03291|R03293		(1.5.1.2)			[00330]
1	rn:R03295		(1.5.5.3)			[00330]
1	rn:R03313		(1.2.1.41)			[00330, 00332]
1	rn:R03316		(1.2.4.2)			[00020]
1	rn:R03321	reversible	(5.3.1.9)			[00010]
1	rn:R03354		(2.4.1.274)			[00600]
1	rn:R03355		(3.2.1.23)			[00600]
1	rn:R03361		(2.7.1.67)			[00562]
1	rn:R03362		(2.7.1.137)			[00562]
1	rn:R03363		(3.1.3.64)			[00562]
1	rn:R03383		(-.-.-.-)			[00280]
1	rn:R03393		(3.1.3.57)			[00562]
1	rn:R03394		(3.1.3.56)			[00562]
1	rn:R03409	reversible	(3.6.1.11)			[00230]
1	rn:R03416		(3.1.1.5)			[00564]
1	rn:R03417		(3.1.1.5)			[00564]
1	rn:R03424		(2.1.1.71)			[00564]
1	rn:R03425		(1.4.4.2)			[00260]
1	rn:R03427		(3.1.3.57)			[00562]
1	rn:R03428		(2.7.1.159)			[00562]
1	rn:R03430		(3.1.3.56)			[00562]
1	rn:R03433		(2.7.1.127)			[00562]
1	rn:R03434		(3.1.3.62)			[00562]
1	rn:R03435		(3.1.4.11)			[00562]
1	rn:R03469		(2.7.1.68)			[00562]
1	rn:R03522		(2.5.1.18)			[00480]
1	rn:R03617		(3.2.1.46)			[00600]
1	rn:R03749		(4.3.2.9)			[00480]
1	rn:R03755|R03756		(-.-.-.-)			[00561]
1	rn:R03755|R03756		(2.3.1.22)			[00561]
1	rn:R03776		(1.3.1.38)			[00062]
1	rn:R03777		(1.3.3.6)			[00071]
1	rn:R03777		(1.3.8.7)			[00071]
1	rn:R03777		(1.3.8.8)			[00071]
1	rn:R03778	reversible	(2.3.1.16)			[00062, 00071]
1	rn:R03815		(1.8.1.4)			[00260]
1	rn:R03856		(1.3.1.38)			[00062]
1	rn:R03857		(1.3.3.6)			[00071]
1	rn:R03857		(1.3.8.7)			[00071]
1	rn:R03857		(1.3.8.8)			[00071]
1	rn:R03858	reversible	(2.3.1.16)			[00062, 00071]
1	rn:R03869		(1.2.1.3)			[00280]
1	rn:R03871		(1.2.3.1)			[00280]
1	rn:R03915|R02824		(-.-.-.-)			[00480]
1	rn:R03915|R02824		(1.8.4.2)			[00480]
1	rn:R03916		(2.3.2.2)			[00480]
1	rn:R03940		(2.1.2.9)			[00670, 00970]
1	rn:R03989		(1.3.1.38)			[00062]
1	rn:R03990		(1.3.3.6)			[00071]
1	rn:R03990		(1.3.8.7)			[00071]
1	rn:R03990		(1.3.8.8)			[00071]
1	rn:R03990		(1.3.8.9)			[00071]
1	rn:R03991	reversible	(2.3.1.16)			[00062, 00071]
1	rn:R04017	reversible	(2.8.2.11)			[00600]
1	rn:R04095	reversible	(1.3.8.4)			[00280]
1	rn:R04095	reversible	(1.3.8.7)			[00280]
1	rn:R04097		(2.3.1.168)			[00280]
1	rn:R04125		(2.1.2.10)			[00260, 00670]
1	rn:R04137	reversible	(4.2.1.17)			[00280]
1	rn:R04138		(6.4.1.4)			[00280]
1	rn:R04144		(6.3.4.13)			[00230]
1	rn:R04170	reversible	(4.2.1.17)			[00062, 00071]
1	rn:R04170	reversible	(4.2.1.74)			[00062, 00071]
1	rn:R04173	reversible	(-.-.-.-)			[00260, 00680]
1	rn:R04173	reversible	(2.6.1.52)			[00260, 00680]
1	rn:R04188	reversible	(2.6.1.22)			[00280]
1	rn:R04203	reversible	(1.1.1.178)			[00280]
1	rn:R04203	reversible	(1.1.1.35)			[00280]
1	rn:R04204		(4.2.1.17)			[00280]
1	rn:R04208		(6.3.3.1)			[00230]
1	rn:R04209	reversible	(4.1.1.21)			[00230]
1	rn:R04224		(4.2.1.17)			[00280]
1	rn:R04230		(6.3.2.51)			[00770]
1	rn:R04241	reversible	(6.3.2.17)			[00790]
1	rn:R04242		(3.4.19.9)			[00790]
1	rn:R04325		(2.1.2.2)			[00230, 00670]
1	rn:R04326		(2.1.2.2)			[00670]
1	rn:R04355		(2.3.1.179)			[00061]
1	rn:R04355		(2.3.1.85)			[00061]
1	rn:R04372		(3.1.3.66)			[00562]
1	rn:R04378	reversible	(2.4.2.7)			[00230]
1	rn:R04404		(3.1.3.36)			[00562]
1	rn:R04420		(5.3.1.23)			[00270]
1	rn:R04428	reversible	(2.3.1.85)			[00061]
1	rn:R04430	reversible	(1.3.1.104)			[00061]
1	rn:R04430	reversible	(2.3.1.85)			[00061]
1	rn:R04432	reversible	(-.-.-.-)			[00640]
1	rn:R04432	reversible	(1.3.8.7)			[00640]
1	rn:R04435	reversible	(2.5.1.57)			[00520]
1	rn:R04444|R04445		(-.-.-.-)			[00330]
1	rn:R04444|R04445		(1.2.1.88)			[00330]
1	rn:R04463		(6.3.5.3)			[00230]
1	rn:R04480		(2.3.1.23)			[00564]
1	rn:R04513		(3.1.3.67)			[00562]
1	rn:R04533	reversible	(2.3.1.85)			[00061]
1	rn:R04534	reversible	(2.3.1.85)			[00061]
1	rn:R04535	reversible	(2.3.1.85)			[00061]
1	rn:R04536	reversible	(2.3.1.85)			[00061]
1	rn:R04537	reversible	(2.3.1.85)			[00061]
1	rn:R04543	reversible	(2.3.1.85)			[00061]
1	rn:R04544	reversible	(2.3.1.85)			[00061]
1	rn:R04545		(2.7.1.153)			[00562]
1	rn:R04559	reversible	(4.3.2.2)			[00230]
1	rn:R04560		(2.1.2.3)			[00230, 00670]
1	rn:R04566	reversible	(2.3.1.85)			[00061]
1	rn:R04568	reversible	(2.3.1.85)			[00061]
1	rn:R04591	reversible	(6.3.2.6)			[00230]
1	rn:R04666		(3.5.1.6)			[00240]
1	rn:R04725	reversible	(1.3.1.104)			[00061]
1	rn:R04725	reversible	(2.3.1.85)			[00061]
1	rn:R04726		(2.3.1.179)			[00061]
1	rn:R04726		(2.3.1.85)			[00061]
1	rn:R04737	reversible	(1.1.1.211)			[00062, 00071]
1	rn:R04737	reversible	(1.1.1.35)			[00062, 00071]
1	rn:R04738	reversible	(4.2.1.17)			[00062, 00071]
1	rn:R04738	reversible	(4.2.1.74)			[00062, 00071]
1	rn:R04739	reversible	(1.1.1.211)			[00062, 00071]
1	rn:R04739	reversible	(1.1.1.35)			[00062, 00071]
