MBB.Id	reaction	Reversible	E.C.number	ko	E.C.num_gene
0.188	rn:R01682		(4.1.1.15)			[00430]
0.189	rn:R02488		(1.3.8.6)			[00310, 00362, 00380]
0.19	rn:R03974		(3.1.2.27)			[00120]
0.19	rn:R08743		(6.2.1.7)			[00120]
0.190	rn:R01940		(1.2.4.2)			[00310]
0.191	rn:R01933		(1.2.4.2)			[00380]
0.192	rn:R03102|R03103		(1.2.1.31)			[00310]
0.193	rn:R00716		(1.5.1.8)			[00310]
0.194	rn:R02894		(1.4.3.3)			[00330]
0.195	rn:R05051		(1.2.1.88)			[00330]
0.196	rn:R04221		(1.4.3.3)			[00330]
0.197	rn:R00526		(3.5.1.15)			[00340, 00630]
0.198	rn:R01085		(3.7.1.5)			[00350]
0.199	rn:R02657		(1.2.3.1)			[00350]
0.2	rn:R00729		(1.4.3.2)			[00350, 00400, 00950]
0.2	rn:R00734	reversible	(2.6.1.1)			[00130, 00350, 00400, 00401, 00950]
0.2	rn:R00734	reversible	(2.6.1.5)			[00130, 00350, 00400, 00401, 00950]
0.2	rn:R03342	reversible	(5.3.2.1)			[00350]
0.20	rn:R02794		(6.2.1.7)			[00120]
0.20	rn:R07296		(3.1.2.27)			[00120]
0.200	rn:R00699		(4.1.1.28)			[00360]
0.201	rn:R01372		(1.13.11.27)			[00360]
0.202	rn:R01795		(1.14.16.1)			[00360, 00400]
0.203	rn:R02452		(2.3.1.71)			[00360]
0.204	rn:R04323		(4.1.1.45)			[00380]
0.205	rn:R02665		(1.13.11.6)			[00380]
0.206	rn:R02668		(3.7.1.3)			[00380]
0.207	rn:R01960		(1.14.13.9)			[00380]
0.208	rn:R00987		(3.7.1.3)			[00380]
0.209	rn:R01959		(3.5.1.9)			[00380, 00630]
0.21	rn:R07507	reversible	(1.3.1.72)			[00100]
0.210	rn:R00988		(3.5.1.9)			[00380]
0.211	rn:R03936		(3.7.1.3)			[00380]
0.212	rn:R00678		(1.13.11.52)			[00380]
0.213	rn:R00677		(1.4.3.2)			[00380]
0.214	rn:R00678		(1.13.11.11)			[00380]
0.215	rn:R02678		(1.2.1.3)			[00380]
0.216	rn:R02173		(1.4.3.4)			[00380]
0.217	rn:R02173		(1.4.3.22)			[00380]
0.218	rn:R00685		(4.1.1.28)			[00380, 00901]
0.219	rn:R00685		(4.1.1.105)			[00380, 00901]
0.22	rn:R05703	reversible	(1.3.1.72)			[00100]
0.220	rn:R03139		(1.4.3.21)			[00410]
0.221	rn:R01579		(3.5.1.2)			[00471]
0.222	rn:R02457		(1.4.3.3)			[00472]
0.223	rn:R02923		(1.4.3.3)			[00472]
0.224	rn:R08363		(1.17.4.1)			[00480]
0.225	rn:R08364		(1.17.4.1)			[00480]
0.226	rn:R00306		(3.2.1.21)			[00500]
0.227	rn:R02887		(3.2.1.21)			[00500]
0.228	rn:R03527		(3.2.1.21)			[00500]
0.229	rn:R00010		(3.2.1.28)			[00500]
0.23	rn:R07498	reversible	(1.3.1.72)			[00100]
0.230	rn:R11262		(3.2.1.1)			[00500]
0.231	rn:R01718		(3.2.1.10)			[00500]
0.232	rn:R00022		(3.2.1.52)			[00520]
0.233	rn:R01206		(3.2.1.14)			[00520]
0.234	rn:R02334		(3.2.1.14)			[00520]
0.235	rn:R01961		(2.7.1.1)			[00520]
0.236	rn:R01011		(2.7.1.29)			[00561, 00680]
0.237	rn:R04470		(3.2.1.22)			[00561]
0.238	rn:R01185		(3.1.3.25)			[00562]
0.239	rn:R00855		(3.6.1.16)			[00564]
0.240	rn:R09034		(-.-.-.-)			[00564]
0.241	rn:R04019		(3.2.1.22)			[00600]
0.242	rn:R00317		(3.6.1.7)			[00620]
0.243	rn:R01334		(3.1.3.18)			[00630]
0.244	rn:R01176		(6.2.1.2)			[00650]
0.245	rn:R01709		(1.2.3.1)			[00750]
0.246	rn:R00257		(6.3.5.1)			[00760]
0.247	rn:R03348		(2.4.2.19)			[00760]
0.248	rn:R02971		(2.7.1.33)			[00770]
0.249	rn:R03018		(2.7.1.33)			[00770]
0.250	rn:R02973		(3.5.1.92)			[00770]
0.251	rn:R05145		(6.3.4.11)			[00780]
0.252	rn:R05145		(6.3.4.15)			[00780]
0.253	rn:R05145		(6.3.4.9)			[00780]
0.254	rn:R05145		(6.3.4.10)			[00780]
0.255	rn:R01074		(6.3.4.9)			[00780]
0.256	rn:R01074		(6.3.4.15)			[00780]
0.257	rn:R01074		(6.3.4.11)			[00780]
0.258	rn:R01074		(6.3.4.10)			[00780]
0.259	rn:R01077		(3.5.1.12)			[00780]
0.26	rn:R02571	reversible	(2.3.1.61)			[00310]
0.260	rn:R02237		(6.3.2.17)			[00790]
0.261	rn:R11765		(1.5.1.3)			[00790]
0.262	rn:R02975		(1.1.1.153)			[00790]
0.263	rn:R02975		(1.1.1.184)			[00790]
0.264	rn:R09562		(1.8.3.6)			[00900]
0.265	rn:R09562		(1.8.3.5)			[00900]
0.266	rn:R00533		(1.8.3.1)			[00920]
0.267	rn:R08678		(1.13.11.18)			[00920]
0.268	rn:R11929		(1.8.5.8)			[00920]
0.269	rn:R11905		(2.5.1.18)			[00983]
0.27	rn:R01939	reversible	(2.6.1.39)			[00300, 00310]
0.270	rn:R11904		(-.-.-.-)			[00983]
0.271	rn:R11902		(2.3.1.5)			[00983]
0.272	rn:R06601		(3.5.2.17)			[00230]
0.274	rn:R01214	reversible	(2.6.1.42)			[00280, 00290, 00770, 00966]
0.274	rn:R01214	reversible	(2.6.1.6)			[00280, 00290, 00770, 00966]
0.275	rn:R01090	reversible	(2.6.1.42)			[00280, 00290, 00966]
0.275	rn:R01090	reversible	(2.6.1.6)			[00280, 00290, 00966]
0.276	rn:R10119		(2.3.1.41)			[00780]
0.277	rn:R10115		(2.3.1.41)			[00780]
0.278	rn:R00801		(3.2.1.26)			[00052, 00500]
0.279	rn:R00526		(3.5.1.8)			[00340, 00630]
0.28	rn:R02313	reversible	(1.5.1.9)			[00310]
0.280	rn:R03889		(1.2.1.32)			[00380]
0.281	rn:R01579		(3.5.1.38)			[00471]
0.282	rn:R11262		(3.2.1.2)			[00500]
0.283	rn:R01961		(2.7.1.8)			[00520]
0.284	rn:R01709		(1.2.3.8)			[00750]
0.285	rn:R01851		(1.8.3.4)			[00920]
0.287	rn:R01481	reversible	(1.1.1.19)			[00040, 00053]
0.287	rn:R01481	reversible	(1.1.1.2)			[00040, 00053]
0.287	rn:R02640	reversible	(1.1.1.45)			[00040]
0.287	rn:R02933	reversible	(3.1.1.17)			[00053]
0.287	rn:R02933	reversible	(3.1.1.25)			[00053]
0.288	rn:R00485		(3.5.1.1)			[00250, 00460]
0.288	rn:R00487		(2.3.1.17)			[00250]
0.288	rn:R00488		(3.5.1.15)			[00250]
0.288	rn:R00578	reversible	(6.3.5.4)			[00250]
0.288	rn:R10678		(6.3.2.41)			[00250]
0.288	rn:R10678		(6.3.2.42)			[00250]
0.288	rn:R10687		(3.4.17.21)			[00250]
0.288	rn:R10688		(3.4.17.21)			[00250]
0.288	rn:R10693		(6.3.2.42)			[00250]
0.289	rn:R00689		(1.4.3.2)			[00360, 00400]
0.289	rn:R00694	reversible	(2.6.1.1)			[00360, 00400, 00960]
0.289	rn:R00694	reversible	(2.6.1.5)			[00360, 00400, 00960]
0.289	rn:R00694	reversible	(2.6.1.57)			[00360, 00400, 00960]
0.289	rn:R01378	reversible	(5.3.2.1)			[00360]
0.29	rn:R05085	reversible	(2.6.1.52)			[00750]
0.290	rn:R02527	reversible	(1.1.1.78)			[00620]
0.290	rn:R02527	reversible	(1.1.1.79)			[00620]
0.290	rn:R02530	reversible	(4.4.1.5)			[00620]
0.291	rn:R00160		(3.6.1.18)			[00740]
0.291	rn:R00160		(3.6.1.9)			[00740]
0.291	rn:R00161		(2.7.7.2)			[00740]
0.291	rn:R00548		(3.1.3.2)			[00740]
0.291	rn:R00549		(2.7.1.26)			[00740]
0.30	rn:R02619		(2.6.1.1)			[00270]
0.31	rn:R02466		(4.1.1.29)			[00430]
0.32	rn:R02466		(4.1.1.15)			[00430]
0.33	rn:R00893		(1.13.11.20)			[00270, 00430]
0.34	rn:R08744		(2.3.1.65)			[00120]
0.35	rn:R03718		(2.3.1.65)			[00120]
0.36	rn:R01881		(2.7.3.2)			[00330]
0.37	rn:R01883		(2.1.1.2)			[00260, 00330]
0.38	rn:R00565		(2.1.4.1)			[00260, 00330]
0.39	rn:R00259		(2.3.1.1)			[00220]
0.40	rn:R01989		(2.1.4.1)			[00330]
0.41	rn:R07495		(1.1.1.270)			[00100]
0.42	rn:R07494		(1.1.1.170)			[00100]
0.43	rn:R07509		(1.14.18.9)			[00100]
0.44	rn:R05639		(1.3.1.70)			[00100]
0.45	rn:R05640		(1.14.14.154)			[00100]
0.46	rn:R03199		(5.4.99.7)			[00100]
0.47	rn:R02874		(1.14.14.17)			[00100, 00909]
0.48	rn:R02872		(2.5.1.21)			[00100, 00909]
0.49	rn:R00702		(2.5.1.21)			[00100, 00906, 00909]
0.50	rn:R04496		(2.1.1.100)			[00900]
0.51	rn:R09845		(3.4.24.84)			[00900]
0.52	rn:R09844		(2.5.1.58)			[00900]
0.53	rn:R02003		(2.5.1.10)			[00900]
0.54	rn:R01658		(2.5.1.1)			[00900]
0.55	rn:R01121		(4.1.1.33)			[00900]
0.56	rn:R03245		(2.7.4.2)			[00900]
0.57	rn:R02245		(2.7.1.36)			[00900]
0.58	rn:R02082		(1.1.1.34)			[00900]
0.59	rn:R09450		(3.1.2.2)			[00062]
0.6	rn:R01457	reversible	(1.3.1.72)			[00100]
0.6	rn:R01461	reversible	(2.3.1.26)			[00100]
0.6	rn:R01462		(3.1.1.13)			[00100]
0.60	rn:R10828		(1.3.1.93)			[00062]
0.61	rn:R10827		(4.2.1.134)			[00062]
0.62	rn:R10826		(1.1.1.330)			[00062]
0.63	rn:R10825		(2.3.1.199)			[00062]
0.64	rn:R10119		(2.3.1.179)			[00780]
0.65	rn:R10115		(2.3.1.179)			[00780]
0.66	rn:R07460		(2.8.1.7)			[00730]
0.67	rn:R02106		(1.7.3.3)			[00230]
0.68	rn:R02107		(1.17.3.2)			[00230]
0.69	rn:R02103		(1.17.1.4)			[00230]
0.7	rn:R03404		(3.1.6.2)			[00140]
0.7	rn:R03405		(2.8.2.2)			[00140]
0.7	rn:R03408	reversible	(1.14.14.1)			[00140]
0.70	rn:R04620		(3.1.3.1)			[00790]
0.71	rn:R08208		(1.1.1.153)			[00790]
0.72	rn:R01813		(1.1.1.153)			[00790]
0.73	rn:R04285		(1.1.1.21)			[00790]
0.74	rn:R04285		(1.1.1.184)			[00790]
0.75	rn:R11764		(1.1.1.21)			[00790]
0.76	rn:R11763		(1.1.1.213)			[00790]
0.77	rn:R04286		(4.2.3.12)			[00790]
0.78	rn:R04639		(3.5.4.16)			[00790]
0.79	rn:R05048		(3.5.4.16)			[00790]
0.8	rn:R03327	reversible	(1.1.1.145)			[00140]
0.8	rn:R03327	reversible	(5.3.3.1)			[00140]
0.80	rn:R05046		(3.5.4.16)			[00790]
0.81	rn:R00428		(3.5.4.16)			[00790]
0.82	rn:R01430		(1.1.1.179)			[00040]
0.83	rn:R01184		(1.13.99.1)			[00053, 00562]
